18,4	2,1
20,3	2,1
24,12	2,1
36,9	2,1
40,12	2,1
42,1	2,1  3,1
48,50	3,1
48,48	2,1  4,2
50,4	2,1
52,3	2,1
54,6	3,1
54,5	3,1
54,14	2,1
60,7	2,1
68,3	2,1
72,39	2,1  4,1
72,41	2,1  4,1  4,1  4,1
72,43	2,1
72,15	2,1
72,45	2,1
78,1	2,1  3,1
80,31	2,1
80,50	2,1
84,7	3,1
96,227	4,2
96,70	2,1
96,187	2,1  4,2
96,64	4,1
96,71	2,1
96,72	2,1
96,226	2,1  4,2  4,2  4,2
98,4	2,1
100,12	2,1
100,3	2,1
100,11	2,1  4,1
100,10	2,1
104,12	2,1
108,37	2,1
108,26	3,1
108,25	3,1
110,1	2,1  5,1
114,1	2,1  3,1
116,3	2,1
120,38	2,1
120,41	2,1
126,9	3,1
126,7	2,1
136,12	2,1  4,1
136,13	2,1
140,6	2,1
144,182	4,1  8,3
144,133	2,1
144,120	2,1
144,185	4,1
144,187	2,1  4,1  4,1  4,1  4,1  4,1  4,1
144,189	2,1  4,2
144,109	2,1  4,2
144,191	2,1
147,4	3,1
148,3	2,1
150,5	5,1
150,6	2,1  3,1
156,7	2,1  3,1  4,1  6,2
156,10	2,1
156,8	3,1
160,234	4,2  8,5  8,5  8,5
160,69	2,1
160,236	2,1
160,204	2,1
162,11	3,1
162,19	3,1  9,2  9,2  9,2
162,9	3,1
162,21	3,1
162,40	3,1
162,5	3,1
162,54	2,1
162,13	3,1
162,15	3,1
162,20	3,1
162,43	3,1
162,42	3,1
162,22	3,1
164,3	2,1
168,43	2,1
168,46	2,1
168,9	3,1
168,49	2,1
168,47	3,1
171,3	3,1
180,25	2,1
180,24	2,1
180,6	2,1
180,22	2,1
186,1	2,1  3,1
192,944	4,1  8,2
192,961	2,1  4,2
192,1008	4,2
192,1009	4,2
192,1023	4,2  4,2  4,2  4,2  4,2  4,2  4,2  4,2
192,1470	2,1  4,2  4,2  4,2
192,1537	2,1  4,2  4,2  4,2  4,2  4,2  4,2  4,2
192,1538	4,2  8,5  8,5  8,5
192,1541	3,1
196,8	2,1
200,42	2,1  4,2
200,40	2,1  4,1
200,44	2,1  4,1  4,1  4,1
200,48	2,1
200,46	2,1
200,12	2,1
200,47	2,1
204,6	2,1
208,31	2,1
208,49	2,1
210,3	3,1
212,3	2,1
216,92	6,2
216,155	4,1
216,161	2,1  4,1
216,86	4,1
216,93	2,1
216,54	3,1
216,51	3,1
216,165	2,1
216,90	6,2
216,21	2,1
216,94	2,1
216,169	2,1
216,111	3,1
216,110	3,1
220,10	2,1
220,7	5,1
222,1	2,1  3,1
228,7	3,1
232,12	2,1
234,9	3,1
234,7	2,1
240,191	3,1  5,1
240,192	4,2
240,121	2,1
240,197	2,1  4,2
240,201	2,1
242,4	2,1
244,3	2,1
250,6	5,1
250,5	5,1
250,14	2,1
252,32	2,1
252,30	3,1
258,1	2,1  3,1
260,6	2,1
260,10	2,1
260,8	2,1
260,9	2,1
264,32	2,1
270,15	3,1
270,14	3,1
272,50	2,1  4,1  8,1
272,32	2,1
272,51	4,1
272,52	2,1
280,35	2,1
288,67	4,1
288,334	2,1  4,2
288,394	2,1
288,401	4,1
288,417	2,1
288,634	2,1
288,635	2,1
288,636	2,1
288,835	2,1  4,2  4,2  4,2
288,836	4,2
288,842	4,1
288,864	4,1
288,893	2,1  4,1  4,1
288,894	2,1
288,909	2,1  4,2
288,933	2,1
288,1026	4,2  8,5
288,1027	4,1  8,3  8,3
288,1030	4,1
288,1032	2,1  4,1  4,1  4,1  4,1  4,1  4,1  4,1  4,1  4,1  4,1  4,1  4,1
288,1034	2,1  4,2  4,2  4,2
288,1036	4,2
288,1039	2,1
292,3	2,1
294,7	7,1
294,12	2,1
294,10	3,1
294,14	2,1  3,1
294,11	2,1
294,1	2,1  3,1
294,13	2,1  3,1  6,2
296,12	2,1
300,24	2,1  3,1  4,1  6,2
300,23	2,1  3,1  4,1  6,2  10,1  10,1
300,35	2,1
300,6	2,1
300,34	2,1
300,33	2,1
300,26	5,1
300,27	3,1
310,1	2,1  5,1
312,48	2,1
312,10	3,1
312,51	2,1
312,45	6,2
312,49	3,1
312,53	2,1
320,187	2,1
320,1026	2,1
320,1058	2,1
320,1591	2,1
320,1635	16,11
320,1636	4,2  8,5  8,5  8,5  8,5  8,5  8,5  16,14  16,14  16,14
320,1638	2,1
324,160	3,1  9,2
324,35	2,1
324,164	2,1  4,1
324,163	2,1
324,112	2,1
324,69	3,1
324,77	3,1  9,2  9,2  9,2
324,67	3,1
324,79	3,1
324,63	3,1
324,144	3,1
324,71	3,1
324,146	3,1
324,73	3,1
324,78	3,1
324,147	3,1
324,80	3,1
328,12	2,1  4,1
328,13	2,1
330,3	5,1
333,3	3,1
336,10	3,1
336,216	3,1
336,215	2,1  4,2
336,123	3,1
338,4	2,1
340,6	2,1
340,10	2,1
340,8	2,1
340,9	2,1
342,7	2,1  3,1  6,2  9,1
342,11	3,1
342,9	2,1
348,6	2,1
356,3	2,1
360,125	2,1  4,1
360,124	4,1
360,136	2,1  4,1
360,141	2,1
360,41	2,1
360,131	2,1  4,2
360,150	2,1
360,149	2,1
360,44	2,1
360,147	2,1
364,6	2,1
366,1	2,1  3,1
372,7	3,1
378,12	2,1
378,18	3,1
378,19	3,1
378,20	3,1
378,22	3,1
378,38	3,1
378,39	3,1
378,51	3,1
378,47	2,1
380,6	2,1
388,3	2,1
390,3	3,1
392,36	2,1  4,1
392,38	2,1  4,1  4,1  4,1
392,40	2,1
396,18	2,1
400,206	4,2  4,1  8,2
400,126	2,1
400,159	2,1
400,145	2,1
400,152	2,1
400,31	2,1
400,134	2,1
400,210	2,1  4,2  4,2
400,208	4,1
400,212	2,1  4,1  4,1  4,1  4,1  4,1  4,1
400,217	2,1
400,215	2,1
400,53	2,1
400,216	2,1
402,1	2,1  3,1
404,3	2,1
406,1	2,1  7,1
408,34	4,1
408,37	2,1
408,40	2,1
410,1	2,1  5,1
416,69	2,1
416,203	2,1
416,233	2,1
420,15	6,2
420,23	2,1
420,19	3,1
424,12	2,1
432,118	3,1
432,123	3,1
432,224	2,1  4,2
432,350	3,1
432,354	3,1
432,529	4,1
432,533	6,2  12,5
432,535	6,2  12,5
432,536	2,1  4,2
432,537	2,1  4,2
432,558	3,1
432,559	3,1
432,593	2,1
